Fecha,Hora,Comida,Descripción,Kcal,Proteína (g),Carbohidratos (g),Grasas (g),Fibra (g),Azúcar (g),Sodio (mg),Marca/Producto,Notas,Fuente,ID,
2026-02-08,21:00,cena,empanada de carne,1,unidad,"horno, tamaño estándar",250,12,20,14,1,media,estimación,,
2026-02-08,--,postre,helado al agua (frutilla y limón),125,g,"1/8 kg, mitad frutilla mitad limón",90,1,22,0,0,media,estimación,,
2026-02-09,14:00,almuerzo,leche proteica,250,ml,4.6 g proteína por porción,120,9,12,4,0,media,etiqueta,,
2026-02-09,14:00,almuerzo,whey protein Star Nutrition,30,g,1 scoop = 25 g proteína,120,25,3,2,0,alta,etiqueta,,
2026-02-09,14:00,almuerzo,huevos revueltos,4,unidad,sin dato de aceite,280,24,2,20,0,media,estimación,,
2026-02-09,18:00,snack,maní tostado sin sal,2,puñado,≈25 g c/u,300,14,10,24,6,media,estimación,,
2026-02-09,18:30,snack,sandía,450,g,3 rodajas generosas,135,3,34,0,2,media,estimación,,
2026-02-09,18:30,snack,tomates cherry,10,unidad,,30,1,7,0,2,alta,bd,,
2026-02-09,18:30,snack,manzana roja,1,unidad chica,,70,0,18,0,3,alta,bd,,
2026-02-09,23:00,cena,pechuga de pollo al horno,200,g,desmenuzada,330,46,0,7,0,media,estimación por foto,,
2026-02-09,23:00,cena,brócoli hervido,150,g,,45,4,9,0,4,media,estimación por foto,,
2026-02-09,23:00,cena,papa hervida,150,g,,120,3,27,0,3,media,estimación por foto,,
2026-02-09,23:00,cena,zanahoria hervida,80,g,,30,1,7,0,2,media,estimación por foto,,
2026-02-09,23:00,cena,arroz blanco cocido,80,g,porción chica,105,2,23,0,1,media,estimación por foto,,
2026-02-10,14:00,almuerzo,pechuga de pollo al horno,180,g,"sobras, desmenuzada",300,41,0,6,0,media,estimación por foto,,
2026-02-10,14:00,almuerzo,brócoli hervido,180,g,sobras,55,5,11,0,5,media,estimación por foto,,
2026-02-10,14:00,almuerzo,papa hervida,180,g,sobras,145,4,33,0,4,media,estimación por foto,,
2026-02-10,14:00,almuerzo,zanahoria hervida,80,g,sobras,30,1,7,0,2,media,estimación por foto,,
2026-02-10,14:00,almuerzo,tomates cherry,8,unidad,,25,1,6,0,2,alta,bd,,
2026-02-10,15:00,snack,leche proteica,250,ml,4.6 g proteína por porción,120,9,12,4,0,media,etiqueta,,
2026-02-10,15:00,snack,whey protein Star Nutrition,30,g,1 scoop = 25 g proteína,120,25,3,2,0,alta,etiqueta,,
2026-02-10,21:00,cena,capelleti rellenos de espinaca y pollo,300,g,plato abundante,480,24,60,16,3,media,estimación por foto,,
2026-02-10,21:00,cena,salsa blanca con panceta,120,g,casera,260,8,6,22,0,media,estimación por foto,,
2026-02-10,21:00,cena,huevo frito,1,unidad,sin rebozar,90,6,1,7,0,media,estimación,,
2026-02-10,21:00,cena,tomates cherry,12,unidad,ensalada aparte,35,1,8,0,2,alta,bd,,
2026-02-11,14:00,almuerzo,berenjena a la plancha,300,g,con aceite,350,6,25,28,8,media,estimación por foto,,
2026-02-11,14:00,almuerzo,ajíes fritos,200,g,solo ajíes fritos,300,4,20,24,4,media,estimación por foto (corregido definitivo),,
2026-02-11,14:00,almuerzo,pan tipo figazzita,2,unidad,chicos,360,12,70,6,4,media,estimación,,
2026-02-11,12:30,almuerzo,guiso de carne con papa,400,g,carne vacuna + papa + cebolla + tomate,600,45,45,30,5,media,estimación por foto (hora corregida),,
2026-02-11,13:15,almuerzo,duraznos en almibar,2,unidad,en almibar,150,1,36,0,2,,media,estimacion,
2026-02-11,19:00,snack,manzana roja,1,unidad,chica,60,0,15,0,2,,alta,estimación estándar,
2026-02-11,21:20,snack,tomates cherry,20,unidad,,40,2,8,0,2,,alta,estimación estándar,
2026-02-11,21:50,snack,batido whey + leche proteica,1,porcion,1 scoop (30g) + 200ml leche proteica,200,29,8,4,0,,alta,etiqueta whey + estimación leche,
2026-02-11,22:30,cena,patamuslo de pollo con papa y zanahoria,1,porcion,1 patamuslo + papa ~300g + zanahoria + 4 crackers,650,45,65,25,6,,media,estimacion por foto,
2026-02-11,23:00,postre,chocolinas con dulce de leche,10,unidad,con dulce de leche,700,8,95,30,3,,media,estimacion estandar,
2026-02-12,14:30,almuerzo,leche proteica,250,ml,4.6 g proteína por porción,120,9,12,4,0,,media,etiqueta,
2026-02-12,14:30,almuerzo,whey protein Star Nutrition,30,g,1 scoop = 25 g proteína,120,25,3,2,0,,alta,etiqueta,
2026-02-12,17:00,snack,huevos revueltos,4,unidad,sin dato de aceite,280,24,2,20,0,,media,estimacion estandar,
2026-02-12,23:00,cena,hamburguesa doble cheddar doble carne (Kiddo),1,unidad,"estilo smashed, con aros de cebolla",950,55,45,65,3,,media,estimacion restaurante estilo smashed,
2026-02-12,23:00,bebida,Pepsi Black,1,vaso,sin azucar,0,0,0,0,0,,alta,etiqueta estandar,
2026-02-12,23:00,bebida,Pepsi regular,1,vaso,azucarada,150,0,40,0,0,,media,estimacion vaso 350ml,
2026-02-13,13:30,almuerzo,lomo de vaca con papas a la cacerola,1,plato,con tomate y morron,800,52,75,32,4,,media,estimacion visual porcion,
2026-02-13,17:00,snack,batido whey protein,1,scoop,30g en agua,120,25,2,1,0,,alta,Star Nutrition - en agua,
2026-02-13,20:30,snack,sandia,420,g,rodaja grande,130,2,32,0,2,,media,estimacion visual por foto,
2026-02-13,22:00,cena,milanesa suprema pollo,2,unidad,a la plancha/horno estimado,700,70,40,35,3,,media,estimacion visual por foto,
2026-02-13,22:00,cena,papa hervida,300,g,con pimienta,260,6,60,0,6,,media,estimacion visual por foto,
2026-02-13,22:00,cena,tomates cherry,150,g,ensalada simple,30,1,7,0,2,,media,estimacion visual por foto,
2026-02-14,1:20,snack,alfajor Rasta,1,unidad,70g segun etiqueta,294,5.6,40,12,2,94,alta,etiqueta foto usuario,
2026-02-14,12:30,almuerzo,banana,1,unidad,,105,1,27,0,3,,media,estimacion estandar,
2026-02-14,12:30,almuerzo,tomates cherry,250,g,,45,2,10,0,3,,media,estimacion usuario,
2026-02-14,16:00,merienda,wrap pollo y lechuga,1,unidad,,350,30,35,12,4,,media,estimacion general,
2026-02-14,16:00,merienda,empanada carne,2,unidad,,500,24,40,28,2,,media,estimacion promedio,
2026-02-14,16:00,merienda,cerveza heineken,710,ml,,300,3,24,0,0,,media,estimacion alcohol 5%,
2026-02-14,19:30,snack,factura dulce de leche,1,unidad chica,,180,3,28,6,1,,media,estimacion panaderia,
2026-02-14,19:30,snack,factura pastelera,1,unidad chica,,170,4,26,5,1,,media,estimacion panaderia,
2026-02-14,19:30,snack,bizcochitos materos,7,unidad,,420,7,42,25,2,,media,estimacion panaderia,
2026-02-14,23:30,bebida,fernet con coca (mayoria zero),10,vaso,~50ml fernet c/u estimado,1100,0,0,0,0,0,baja,estimacion usuario cantidad imprecisa,
2026-02-14,23:45,snack,pochoclos dulces,1,bolsa chica,,350,5,60,15,3,150,media,estimacion estandar,
2026-02-14,23:50,snack,empanada de carne,1,unidad,,250,12,20,14,1,400,media,estimacion promedio,
2026-02-15,13:00,almuerzo,caldo de papa con huevo y cilantro,1,porcion,2 huevos incluidos,450,20,50,18,5,800,media,estimacion visual,
2026-02-15,13:00,almuerzo,palta,0.5,unidad,chica,120,1,6,11,5,5,media,estimacion estandar,
2026-02-15,16:30,merienda,rabas fritas,15,unidad,porcion aprox,600,35,40,40,3,900,media,estimacion restaurante,
2026-02-15,16:30,bebida,cerveza,2,vaso chico,~250ml c/u,220,2,18,0,0,20,media,estimacion estandar 5% alcohol,
2026-02-15,16:30,merienda,pan mignon,2,unidad,,260,8,50,2,2,300,media,estimacion panaderia,
2026-02-15,20:00,cena,sandwich figaza jamon y queso con mayonesa,2,unidad,,900,40,80,45,4,1200,media,estimacion panaderia,
2026-02-15,20:00,cena,sandwich figaza matambre con queso y mayonesa,1,unidad,,600,30,45,35,2,900,media,estimacion panaderia,
2026-02-15,22:00,cena,pizza individual napolitana,1,unidad,,900,35,100,40,5,1200,media,estimacion pizzeria,
2026-02-15,22:00,bebida,cynar julep,2,vaso,,400,0,30,0,0,0,media,estimacion alcohol,
2026-02-15,22:30,bebida,coca zero,1,vaso,,0,0,0,0,0,0,alta,sin calorias,
2026-02-16,2:00,snack,facturas,2,unidad chica,,300,5,45,10,1,200,media,estimacion panaderia,
2026-02-16,12:00,almuerzo,leche proteica,250,ml,,120,9,12,4,0,,media,estimacion estandar,
2026-02-16,12:00,almuerzo,whey protein Star Nutrition,30,g,1 scoop,120,25,3,2,0,,alta,etiqueta conocida,
2026-02-16,12:30,almuerzo,sandwich figaza jamon y queso con mayonesa,1,unidad,,450,18,45,22,2,,media,estimacion panaderia,
2026-02-16,14:30,merienda,licuado frutilla y banana con leche y azucar,1,vaso grande,,350,10,65,8,3,,media,estimacion casera,
2026-02-16,15:00,snack,rosca de chipa,1,unidad,,400,10,35,25,1,,media,estimacion callejera,
2026-02-16,18:30,snack,conito Havanna chocolate y dulce de leche,1,unidad,,250,4,28,15,1,,media,estimacion marca,
2026-02-16,18:30,snack,alfajor Havanna chocolate y dulce de leche,1,unidad,,300,5,35,16,1,,media,estimacion marca,
2026-02-16,21:00,cena,carne vacuna magra al horno,250,g,,450,60,0,20,0,,media,estimacion corte magro,
2026-02-16,21:00,cena,papas al horno,250,g,,350,7,70,5,6,,media,estimacion estandar,
2026-02-17,1:00,snack,KitKat,1,unidad,,210,3,27,11,1,,media,estimacion estandar 41g,
2026-02-17,1:00,bebida,cafe latte vainilla grande,1,unidad,,300,10,45,9,0,,media,estimacion cafeteria,
2026-02-17,1:00,snack,chocolate Block,1,unidad,,250,4,28,15,2,,media,estimacion estandar,
2026-02-17,15:20,almuerzo,granola natural,80,g,sin endulzantes,320,8,50,12,6,,media,estimacion porcion estandar,
2026-02-17,15:20,almuerzo,leche proteica,250,ml,,120,9,12,4,0,,media,estimacion estandar,
2026-02-17,15:20,almuerzo,whey protein Star Nutrition,30,g,1 scoop,120,25,3,2,0,,alta,etiqueta conocida,
2026-02-17,15:20,almuerzo,mantequilla de mani natural,1,cucharada,~15g,100,4,3,9,1,,media,estimacion estandar,
2026-02-17,20:30,cena,guiso de lentejas,2,platos,con arroz blanco + chorizo colorado + panceta,1200,70,120,40,25,,media,estimacion visual porcion grande x2,
2026-02-17,22:30,snack,Mantecol,50,g,,265,4,30,15,1,,media,estimacion 530kcal x100g,
2026-02-17,22:30,snack,pan figazza,1,unidad,chico,140,4,28,2,1,,media,estimacion panaderia chico,
2026-02-17,22:30,snack,gelatina frambuesa,1,porcion,chica,70,1,17,0,0,,media,estimacion azucarada,
2026-02-18,14:15,almuerzo,granola natural,40,g,media taza aprox,160,4,25,6,3,,media,mitad porcion habitual,
2026-02-18,14:15,almuerzo,mantequilla de mani natural,1,cucharada,~15g,100,4,3,9,1,,media,estimacion estandar,
2026-02-18,14:15,almuerzo,whey protein Star Nutrition,30,g,1 scoop,120,25,3,2,0,,alta,etiqueta conocida,
2026-02-18,14:15,almuerzo,leche proteica,250,ml,,120,9,12,4,0,,media,estimacion estandar,
18/02/2026,14:15,Granola 1/2 taza + 1 cda manteca de maní + 1 scoop whey + 250ml leche proteica,,,,,,,,,,,,,
18/02/2026,21:00,1 manzana roja chica + 10 uvas,,,,,,,,,,,,,
18/02/2026,21:30,2 huevos fritos en oliva + milanesa suprema a la sartén con oliva + 1 taza arroz blanco + zapallitos salteados con semillas,,,,,,,,,,,,,
2026-02-18,22:00,snack,whey protein Star Nutrition,30,g,1 scoop en agua,120,25,3,2,0,0,alta,etiqueta conocida,
2026-02-18,22:00,snack,leche proteica,100,ml,,50,4.5,5,2,0,0,media,proporcion estimada 4.6g/250ml,
2026-02-18,22:00,snack,tomate,1,unidad,,20,1,5,0,1,0,alta,estimacion estandar,
2026-02-19,13:00,almuerzo,huevos revueltos,4,unidad,sin dato de aceite,280,24,2,20,0,0,media,estimacion estandar,
2026-02-19,16:30,snack,whey protein Star Nutrition,30,g,1 scoop,120,25,3,2,0,0,alta,etiqueta conocida,
2026-02-19,16:30,snack,leche proteica,300,ml,,145,13.8,14,5,0,0,media,proporcion 4.6g/100ml estimada,
2026-02-19,16:45,snack,banana,1,unidad,,105,1,27,0,3,0,media,estimacion estandar,
2026-02-19,17:00,snack,spaghetti con tomate cherry y zanahoria,80,g,"<1/4 plato, sin salsa",110,3,22,1,2,0,media,estimacion porcion pequeña,
2026-02-19,22:00,cena,carne vacuna (paleta) con papas y zanahoria,400,g carne aprox,#ERROR!,950,95,40,45,6,0,media-alta,estimacion visual segun foto,
2026-02-20,15:20,almuerzo,guiso de lentejas con arroz + 2 huevos,1,plato,similar a registro previo,650,38,70,25,10,0,media,estimacion basada en porcion previa + huevos,
2026-02-20,18:30,snack,banana + manteca de mani natural,1,banana + 1 cda,cucharada sopera aprox,200,5,30,10,3,0,media,estimacion estandar banana + 15g manteca de mani,
2026-02-20,22:00,cena,milanesa frita napolitana + pure + pan + empanada carne,1,plato grande,"mila grande frita, pure abundante, 1 figaza, 1 empanada",1400,75,110,70,8,0,media-alta,estimacion visual por tamaño y fritura,
2026-02-20,20:00,snack,tomates cherry,16,unidades,,50,2,10,0,3,0,baja,estimacion estandar,
2026-02-20,23:44,snack,batido prote (1 scoop en agua),1,scoop,con agua,120,25,3,1,0,0,baja,segun scoop whey,
2026-02-21,Desayuno,1 taza granola Kös + crema de mani,80g granola aprox (2 porciones) + 1 cda manteca mani,416,11,48,18,estimado usando tabla info_nutricional y valores estandar manteca mani,,,,,,,
2026-02-21,18:20,3 arepas + 3 huevos revueltos + morron salteado con manteca y verdeo,arepas maiz precocido (aprox 180g masa total) + 3 huevos + 10g manteca aprox,820,33,90,32,"estimado por porciones estandar harina maiz, huevo y manteca",,,,,,,
2026-02-21,22:00,Trago tequila + tonica + limon,1 medida tequila (45ml) + tonica,170,0,14,0,estimado alcohol + tonica regular,,,,,,,
2026-02-21,23:00,Trago tequila + tonica + frutos rojos,1 medida tequila (45ml) + tonica,170,0,14,0,estimado alcohol + tonica regular,,,,,,,
2026-02-21,Cena,2 milanesas pollo fritas + 1 huevo + pure con mayonesa,~400g pollo rebozado + 1 huevo + 250g pure + mayonesa,1250,85,90,65,estimado visual por tamaño y preparacion frita,,,,,,,
2026-02-22,13:00,Granola Kös (1/2 taza grande) + 1 cda grande crema de mani + leche proteica,~60g granola (1.5 porciones) + 20g mani + 250ml leche proteica,490,33,50,21,granola referenciada desde info_nutricional; resto estimado estandar,,,,,,,
2026-02-22,Snack,Yogur firme frutilla Milkaut,1 pote (180g),173,7.7,29,2.9,referenciado desde info_nutricional,,,,,,,
2026-02-22,18:15,snack,"ensalada de frutas (pera, manzana roja, manzana verde, naranja, ciruela)",1/2 porcion,,,,,,,,,,,
2026-02-22,21:00,cena,papas fritas,1 porcion parrilla,,,,,,,,,,,
2026-02-22,21:00,cena,chinchulin,2 unidades,,,,,,,,,,,
2026-02-22,21:00,cena,molleja,150 g,,,,,,,,,,,
2026-02-22,21:00,cena,chorizo,1/2 unidad,,,,,,,,,,,
2026-02-22,21:00,cena,riñon,1 rodaja,,,,,,,,,,,
2026-02-22,21:00,cena,asado,500 g aprox,,,120,25,2,1,,,,,
2026-02-22,21:00,cena,flan con dulce de leche y crema,1/2 porcion,,,145,13.8,14,5,,,,,
2026-02-23,17:30,snack,whey protein (1 scoop),1 scoop,,,105,1,27,0,,,,,
2026-02-23,17:30,snack,leche proteica,300 ml,,,45,2,10,0,,,,,
2026-02-23,20:30,snack,banana,1 unidad,,,360,45,0,18,,,,,
2026-02-23,20:30,snack,tomates cherry,25 unidades aprox,,,130,2.5,28,0,,,,,
2026-02-23,21:30,cena,pollo pata muslo sin piel,1 unidad grande aprox,,,215,5,50,0,,,,,
2026-02-23,21:30,cena,arroz blanco,1 puñado aprox (80-100g cocido),,,40,1,9,0,,,,,
2026-02-23,21:30,cena,papas,porcion cacerola,,,,,,,,,,,
2026-02-23,21:30,cena,zanahorias,porcion cacerola,,,,,,,,,,,
2026-02-24,12:45,snack,whey protein (1 scoop),1 scoop,,,120,25,2,1,,,,,
2026-02-24,12:45,snack,leche proteica,150 ml,,,72,5.4,7,2.4,,,,,
2026-02-24,13:00,snack,banana,1,unidad,,105,1,27,0,,,alta,estimacion estandar,
2026-02-24,14:00,almuerzo,empanada de carne,1,unidad,,250,12,20,14,,,media,estimacion promedio horno,
2026-02-24,14:00,almuerzo,empanada capresse,1,unidad,,230,10,22,12,,,media,estimacion promedio horno,
2026-02-24,14:00,almuerzo,caldo de papa con 2 huevos,1,plato,~300g papa + 2 huevos,500,25,60,18,,,media,estimacion visual por foto,
2026-02-24,14:30,postre,mini Toblerone,1,unidad,~12.5g,70,1,8,4,,,media,estimacion mini 12-13g bolsa surtida,
2026-02-24,16:00,snack,melon,300,g,bowl chico aprox,105,2,26,0,,,media,estimacion visual por foto,
2026-02-24,16:00,snack,ciruela,1,unidad,,30,0,8,0,,,media,estimacion estandar,
2026-02-24,20:00,snack,galletas con mantequilla (Falabella),9,unidades (~67.5g),porcion segun etiqueta 30g=4u,344,3.6,29.3,17.6,,,alta,calculado segun info nutricional etiqueta,
2026-02-24,22:00,cena,batata al horno,250,g,,215,4,50,0.5,,,media,estimacion visual,
2026-02-24,22:00,cena,arroz blanco cocido,70,g (1/3 taza),,90,2,20,0.2,,,alta,conversion taza a gramos,
2026-02-24,22:00,cena,carne vacuna (guiso),250,g,,500,65,0,35,,,media,estimacion corte magro promedio,
2026-02-24,22:00,cena,"verduras guiso (arvejas, zanahoria, chauchas)",200,g,,160,8,28,2,,,media,estimacion mezcla verduras,
2026-02-25,11:15,snack,galletitas oblea,6,unidades (~60g),,210,3,30,9,,,media,estimacion promedio oblea estandar,
2026-02-25,11:40,almuerzo,berenjena a la plancha,300,g (1 unidad mediana),,220,4,18,16,,,media,estimacion visual + aceite moderado,
2026-02-25,11:40,almuerzo,tortilla de papa,1/2,porcion (~350g),,550,22,45,35,,,media,estimacion espesor 1.5cm aprox,
2026-02-25,12:00,almuerzo,zapallitos rellenos con carne,5,unidades (~600g total),,700,55,35,45,,,media,estimacion visual carne + queso,
2026-02-25,16:30,snack,budin panaderia vainilla nuez chocolate,2,fetas (~180g total),,720,12,95,32,,,baja,estimacion panaderia tradicional con glase,
2026-02-25,16:30,snack,jugo de naranja exprimido,1,vaso (~250ml),,110,2,26,0,,,media,estimacion vaso estandar 250ml,
2026-02-26,12:30,almuerzo,zapallitos rellenos carne + mozzarella,3,unidades (~600g total),carne 300g + muzza 120g aprox,1275,85,25,95,4,0,media,estimacion visual foto,
2026-02-26,15:45,snack,melon maduro,150,g,,50,1,12,0,1,0,media,estimacion estandar,
